codigo_aeronave;codigo_ocorrencia;matricula;codigo_operador;equipamento;fabricante;modelo;tipo_motor;quantidade_motores;peso_maximo_decolagem;quantidade_assentos;ano_fabricacao;pais_registro;categoria_registro;categoria_aviacao;origem_voo;destino_voo;fase_operacao;tipo_operacao;nivel_dano;quantidade_fatalidades;dia_extracao
9221;28379;PTGNO;469;AVI«O;NEIVA INDUSTRIA AERONAUTICA;EMB-201;PIST«O;1;1800;1;1976;BRASIL;SAE-AG;AGR÷COLA;****;****;NAVEGAÄ«O A BAIXA ALTURA;AGR÷COLA;DESTRU÷DA;1;30/07/2016
9222;28381;PRABI;4820;AVI«O;CESSNA AIRCRAFT;A188B;PIST«O;1;1905;1;1974;BRASIL;SAE;ESPECIALIZADA;****;****;OUTRA FASE;ESPECIALIZADA;***;0;30/07/2016
9228;28617;PPSEC;970;AVI«O;TWIN COMMANDER;500-S;PIST«O;2;3062;8;1972;BRASIL;TPX;TµXI AêREO;SBPL;SBSV;DESCIDA;TµXI AêREO;DESTRU÷DA;4;30/07/2016
9229;28636;PTNIG;3992;AVI«O;NEIVA INDUSTRIA AERONAUTICA;EMB-710C;PIST«O;1;1361;4;1976;BRASIL;TPP;PARTICULAR;****;****;CORRIDA AP‡S POUSO;PRIVADA;DESTRU÷DA;2;30/07/2016
9231;28735;PRXYZ;3992;HELIC‡PTERO;ROBINSON HELICOPTER;R44 II;PIST«O;1;1134;4;2006;BRASIL;TPP;PARTICULAR;****;****;ARREMETIDA NO AR;PRIVADA;DESTRU÷DA;0;30/07/2016
9232;28775;PTKBA;3984;AVI«O;CESSNA AIRCRAFT;U206F;PIST«O;1;1633;6;1974;BRASIL;TPX;TµXI AêREO;SJLU;SJYK;INDETERMINADA;TµXI AêREO;DESTRU÷DA;2;30/07/2016
9233;28795;PTLRG;3992;AVI«O;CESSNA AIRCRAFT;210R;PIST«O;1;1746;6;1985;BRASIL;TPP;PARTICULAR;SBGO;****;DECOLAGEM;PRIVADA;DESTRU÷DA;0;30/07/2016
9235;28915;PPEIO;4148;HELIC‡PTERO;HELIBRAS;AS 350 BA;TURBOEIXO;1;2100;6;1986;BRASIL;ADE;ADMINISTRAÄ«O DIRETA;SIHC;****;MANOBRA;POLICIAL;DESTRU÷DA;6;30/07/2016
9236;28935;PTVCH;13;AVI«O;EMBRAER;EMB-820C CARAJA;TURBOêLICE;2;3629;10;1986;BRASIL;TPX;TµXI AêREO;SBSV;SNBR;APROXIMAÄ«O FINAL;TµXI AêREO;SUBSTANCIAL;0;30/07/2016
9237;28955;PTUHI;3992;AVI«O;NEIVA INDUSTRIA AERONAUTICA;EMB-202;PIST«O;1;1800;1;1993;BRASIL;TPP;PARTICULAR;****;****;NAVEGAÄ«O A BAIXA ALTURA;PRIVADA;SUBSTANCIAL;0;30/07/2016
9242;29159;PTWKZ;49;AVI«O;EMBRAER;EMB-810C;PIST«O;2;2073;7;1981;BRASIL;TPX;TµXI AêREO;****;****;POUSO;TµXI AêREO;SUBSTANCIAL;0;30/07/2016
9244;29161;PRGLJ;2327;AVI«O;BOEING COMPANY;737-322;JATO;2;61234;148;1988;BRASIL;TPR;REGULAR;****;****;INDETERMINADA;REGULAR;NENHUM;0;30/07/2016
9245;29175;PTYBJ;2532;HELIC‡PTERO;BELL HELICOPTER;206B;TURBOEIXO;1;1451;5;1968;BRASIL;TPX;TµXI AêREO;SDVG;****;CRUZEIRO;TµXI AêREO;SUBSTANCIAL;0;30/07/2016
9246;29195;PPHPA;160;AVI«O;NEIVA INDUSTRIA AERONAUTICA;56-C-1;PIST«O;1;660;2;1963;BRASIL;PRI;INSTRUÄ«O;****;****;DECOLAGEM;INSTRUÄ«O;SUBSTANCIAL;0;30/07/2016
